Date	Confirmed	Deaths	Recovered
03-10-2020	173	0	0
03-11-2020	220	0	0
03-12-2020	328	0	0
03-13-2020	421	0	0
03-14-2020	525	2	0
03-15-2020	732	3	0
03-16-2020	967	10	0
03-17-2020	1706	13	0
03-18-2020	2495	16	0
03-19-2020	5365	34	0
03-20-2020	8310	42	0
03-21-2020	11710	60	0
03-22-2020	9654	63	0
03-22-2020	1900	4	0
03-22-2020	1873	0	0
03-22-2020	1034	9	0
03-22-2020	455	1	0
03-22-2020	247	0	0
03-22-2020	123	0	0
03-22-2020	82	0	0
03-22-2020	68	1	0
03-22-2020	56	0	0
03-22-2020	45	0	0
03-22-2020	35	0	0
03-22-2020	32	0	0
03-22-2020	31	0	0
03-22-2020	23	38	0
03-22-2020	20	0	0
03-22-2020	18	0	0
03-22-2020	17	0	0
03-22-2020	15	0	0
03-22-2020	12	0	0
03-22-2020	9	0	0
03-22-2020	4	0	0
03-22-2020	4	0	0
03-22-2020	4	0	0
03-22-2020	3	0	0
03-22-2020	3	1	0
03-22-2020	3	0	0
03-22-2020	3	0	0
03-22-2020	3	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	2	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	1	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-22-2020	0	0	0
03-23-2020	127	0	0
03-23-2020	2	0	0
03-23-2020	0	0	0
03-23-2020	3	1	0
03-23-2020	0	0	0
03-23-2020	0	0	0
03-23-2020	0	0	0
03-23-2020	2	0	0
03-23-2020	2	0	0
03-23-2020	4	0	0
03-23-2020	17	0	0
03-23-2020	2	0	0
03-23-2020	1	0	0
03-23-2020	100	1	0
03-23-2020	87	0	0
03-23-2020	3	0	0
03-23-2020	0	0	0
03-23-2020	1	0	0
03-23-2020	1	0	0
03-23-2020	2	0	0
03-23-2020	2	0	0
03-23-2020	3	0	0
03-23-2020	1	0	0
03-23-2020	0	0	0
03-23-2020	0	0	0
03-23-2020	2	0	0
03-23-2020	1	0	0
03-23-2020	81	2	0
03-23-2020	3	0	0
03-23-2020	2442	4	0
03-23-2020	12305	99	0
